NUGET,SBOM_dependencies,CVE
pipelines.sockets.unofficial@2.2.0,pipelines.sockets.unofficial@2.2.0,NA
portable.bouncycastle@1.9.0,portable.bouncycastle@1.9.0,NA
qrcoder@1.4.3,qrcoder@1.4.3,NA
questpdf@2022.12.1,questpdf@2022.12.1,NA
restsharp@106.12.0,restsharp@106.12.0,NA
runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.debian.8-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.fedora.23-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.fedora.24-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.native.system.io.compression@4.3.0,NA,NA
runtime.native.system.net.http@4.3.0,NA,NA
runtime.native.system.security.cryptography.apple@4.3.0,NA,NA
runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.native.system@4.3.0,NA,NA
runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.apple@4.3.0,NA,NA
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA
runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
shimskiasharp@0.5.18,shimskiasharp@0.5.18,NA
sib_api_v3_sdk@3.3.0,sib_api_v3_sdk@3.3.0,NA
sixlabors.fonts@1.0.0-beta18,sixlabors.fonts@1.0.0-beta18,NA
skiasharp.harfbuzz@2.88.3,skiasharp.harfbuzz@2.88.3,NA
skiasharp.nativeassets.linux.nodependencies@2.88.3,skiasharp.nativeassets.linux.nodependencies@2.88.3,NA
skiasharp.nativeassets.macos@2.88.3,skiasharp.nativeassets.macos@2.88.3,NA
